Question,Original_answer,Detected_answer
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Denver Broncos
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Carolina Panthers
Where did Super Bowl 50 take place?,"Santa Clara, California","Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Which NFL team won Super Bowl 50?,Denver Broncos,Carolina Panthers
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,gold
What was the theme of Super Bowl 50?,"""golden anniversary""",golden anniversary
What day was the game played on?,"February 7, 2016","February 7, 2016"
What is the AFC short for?,American Football Conference,Super Bowl 50 was an American football game to determine the champion of the National Football League ( NFL ) for the 2015 season. The American Football Conference
What was the theme of Super Bowl 50?,"""golden anniversary""",golden anniversary
What does AFC stand for?,American Football Conference,American Football Conference
What day was the Super Bowl played on?,"February 7, 2016","February 7, 2016"
Who won Super Bowl 50?,Denver Broncos,Denver Broncos
What venue did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California"
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L
Super Bowl 50 decided the NFL champion for what season?,2015,2015
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,2016
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California"
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium
What was the final score of Super Bowl 50? ,24–10,24 – 10
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","February 7, 2016"
What year was Super Bowl 50?,2015,2015
What team was the AFC champion?,Denver Broncos,Denver Broncos
What team was the NFC champion?,Carolina Panthers,Carolina Panthers
Who won Super Bowl 50?,Denver Broncos,Denver Broncos
Super Bowl 50 determined the NFL champion for what season?,2015,2015
Which team won Super Bowl 50.,Denver Broncos,Carolina Panthers
Where was Super Bowl 50 held?,"Santa Clara, California.",Levi's Stadium
The name of the NFL championship game is?,Super Bowl,Super Bowl 50
What 2015 NFL team one the AFC playoff?,Denver Broncos,Denver Broncos
Which Carolina Panthers player was named Most Valuable Player?,Cam Newton,Cam Newton
How many appearances have the Denver Broncos made in the Super Bowl?,8,eight
What year was the Carolina Panthers franchise founded?,1995,1995
What team did the Panthers defeat?,Arizona Cardinals,Arizona Cardinals
Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,New England Patriots
Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,Arizona Cardinals
Who lost to the Broncos in the AFC Championship?,New England Patriots,Arizona Cardinals
Who were the defending Super Bowl champions?,New England Patriots,New England Patriots
How many teams have been in the Super Bowl eight times?,four,four
Who was this season's NFL MVP?,Cam Newton,Cam Newton
What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1,15 – 1
Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton,Cam Newton
What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4,15 – 1 record
How many teams have played in the Super Bowl eight times?,4,four
Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots,New England Patriots
Who is the quarterback for the Panthers?,Cam Newton,Cam Newton
Who did Carolina beat in the NFC championship game?,Arizona Cardinals,Arizona Cardinals
How many times have the Panthers been in the Super Bowl?,2,eight
Who did Denver beat in the AFC championship?,New England Patriots,Arizona Cardinals
Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,Cam Newton
